,country,stability,rights,health,safety,climate,costs,popularity,area,population,pop_per_km_sq,male_life_expectancy,female_life_expectancy,birth_rate,death_rate
74,Senegal,64.0,47.0,33.0,91.0,52.0,56.0,35.0,,,,,,,
75,South Africa,47.0,54.0,31.0,43.0,95.0,49.0,40.0,,,,,,,
76,Rwanda,68.0,48.0,27.0,72.0,61.0,58.0,36.0,,,,,,,
77,Algeria,35.0,24.0,61.0,97.0,77.0,55.0,37.0,,,,,,,
78,Kazakhstan,54.0,36.0,69.0,82.0,40.0,60.0,33.0,,,,,,,
79,Vietnam,67.0,35.0,54.0,76.0,52.0,51.0,34.0,,,,,,,
80,Indonesia,61.0,44.0,39.0,98.0,40.0,54.0,39.0,,,,,,,
81,Bolivia,57.0,28.0,45.0,68.0,85.0,51.0,33.0,,,,,,,
82,Moldova,51.0,41.0,67.0,84.0,40.0,62.0,15.0,,,,,,,
83,Trinidad and Tobago,68.0,50.0,61.0,39.0,51.0,48.0,30.0,,,,,,,
84,Timor-Leste,65.0,37.0,42.0,42.0,73.0,67.0,23.0,,,,,,,
85,India,48.0,46.0,35.0,79.0,62.0,45.0,49.0,,,,,,,
86,Mexico,46.0,37.0,54.0,52.0,82.0,34.0,53.0,,,,,,,
87,Ukraine,42.0,36.0,71.0,82.0,33.0,60.0,39.0,,,,,,,
88,Dominican Republic,50.0,41.0,52.0,67.0,61.0,49.0,30.0,,,,,,,
89,Jamaica,55.0,52.0,51.0,37.0,73.0,47.0,18.0,,,,,,,
90,Madagascar,49.0,28.0,22.0,86.0,77.0,66.0,33.0,,,,,,,
91,Russia,47.0,26.0,74.0,75.0,33.0,62.0,43.0,,,,,,,
92,Brazil,37.0,45.0,63.0,60.0,65.0,44.0,32.0,,,,,,,
93,Tanzania,51.0,34.0,21.0,57.0,88.0,56.0,46.0,,,,,,,
94,Ghana,48.0,51.0,26.0,95.0,56.0,42.0,38.0,,,,,,,
95,Egypt,36.0,26.0,44.0,83.0,67.0,59.0,45.0,,,,,,,
96,Nepal,53.0,35.0,34.0,89.0,56.0,57.0,28.0,,,,,,,
